killmail id,killmail time,ship type id,ship name
71507792,2018-07-28T05:20:31Z,12019,Sacrilege
71506918,2018-07-28T04:09:44Z,627,Thorax
71506850,2018-07-28T04:04:47Z,626,Vexor
71506418,2018-07-28T03:36:20Z,626,Vexor
71504540,2018-07-28T01:30:37Z,629,Rupture
71502880,2018-07-27T23:20:23Z,12019,Sacrilege
71502878,2018-07-27T23:20:13Z,12019,Sacrilege
71501265,2018-07-27T21:38:29Z,12015,Muninn
71501246,2018-07-27T21:37:21Z,17715,Gila
71498052,2018-07-27T18:58:20Z,33470,Stratios
71497850,2018-07-27T18:46:19Z,47270,Vedmak
71497375,2018-07-27T18:17:12Z,17720,Cynabal
71495427,2018-07-27T16:11:57Z,17715,Gila
71493705,2018-07-27T14:28:46Z,17715,Gila
71491163,2018-07-27T11:51:27Z,621,Caracal
71491078,2018-07-27T11:44:30Z,2006,Omen
71490841,2018-07-27T10:52:30Z,626,Vexor
71490442,2018-07-27T10:05:01Z,628,Arbitrator
71489968,2018-07-27T09:18:45Z,12005,Ishtar
71488348,2018-07-27T05:41:41Z,17715,Gila
71488143,2018-07-27T05:14:38Z,33470,Stratios
71486911,2018-07-27T03:03:17Z,33470,Stratios
71486485,2018-07-27T02:27:17Z,17715,Gila
71486340,2018-07-27T02:14:50Z,17715,Gila
71485745,2018-07-27T01:36:36Z,17715,Gila
71485604,2018-07-27T01:24:31Z,629,Rupture
71484045,2018-07-26T23:50:02Z,17715,Gila
71483503,2018-07-26T22:58:06Z,17715,Gila
71481919,2018-07-26T20:58:00Z,17715,Gila
71478515,2018-07-26T17:46:47Z,17715,Gila
71478064,2018-07-26T17:08:27Z,17715,Gila
71478020,2018-07-26T17:05:45Z,17715,Gila
71476920,2018-07-26T15:45:19Z,17715,Gila
71475591,2018-07-26T14:14:35Z,17715,Gila
71474399,2018-07-26T12:55:04Z,12003,Zealot
71474357,2018-07-26T12:51:43Z,17843,Vexor Navy Issue
71473896,2018-07-26T11:55:42Z,17715,Gila
71473161,2018-07-26T10:15:43Z,621,Caracal
71472967,2018-07-26T09:52:17Z,17715,Gila
71471946,2018-07-26T07:27:43Z,628,Arbitrator
71471282,2018-07-26T05:59:45Z,17715,Gila
71471155,2018-07-26T05:42:28Z,17715,Gila
71467424,2018-07-25T23:43:55Z,622,Stabber
71466879,2018-07-25T23:00:18Z,17715,Gila
71466291,2018-07-25T22:13:49Z,12019,Sacrilege
71465122,2018-07-25T21:04:04Z,17715,Gila
71464871,2018-07-25T20:50:29Z,627,Thorax
71462935,2018-07-25T19:03:54Z,17715,Gila
71462245,2018-07-25T18:28:43Z,17715,Gila
71461529,2018-07-25T17:44:19Z,17715,Gila
71460237,2018-07-25T16:26:44Z,12019,Sacrilege
71460147,2018-07-25T16:18:12Z,17715,Gila
71459982,2018-07-25T16:08:13Z,12019,Sacrilege
71459977,2018-07-25T16:07:33Z,621,Caracal
71459143,2018-07-25T14:59:37Z,17843,Vexor Navy Issue
71458929,2018-07-25T14:46:56Z,628,Arbitrator
71457795,2018-07-25T13:29:17Z,17843,Vexor Navy Issue
71455814,2018-07-25T10:28:11Z,12005,Ishtar
71455723,2018-07-25T10:15:40Z,17715,Gila
71455557,2018-07-25T09:52:38Z,17715,Gila
71454735,2018-07-25T08:02:30Z,624,Maller
71454142,2018-07-25T06:33:31Z,12019,Sacrilege
71452859,2018-07-25T04:00:18Z,629,Rupture
71452544,2018-07-25T03:26:08Z,621,Caracal
71452511,2018-07-25T03:23:28Z,17715,Gila
71449815,2018-07-24T23:58:22Z,17718,Phantasm
71447856,2018-07-24T21:18:32Z,12015,Muninn
71446536,2018-07-24T20:14:55Z,11995,Onyx
71445301,2018-07-24T19:16:04Z,12019,Sacrilege
71444980,2018-07-24T18:59:19Z,626,Vexor
71443726,2018-07-24T18:00:09Z,626,Vexor
71442706,2018-07-24T17:02:25Z,17715,Gila
71442013,2018-07-24T16:19:20Z,17715,Gila
71441695,2018-07-24T15:56:35Z,12005,Ishtar
71441422,2018-07-24T15:39:28Z,626,Vexor
71440666,2018-07-24T13:33:52Z,626,Vexor
71440391,2018-07-24T12:58:53Z,12019,Sacrilege
71440106,2018-07-24T12:30:24Z,17715,Gila
71439653,2018-07-24T11:45:43Z,17843,Vexor Navy Issue
71437834,2018-07-24T07:42:36Z,623,Moa
71437648,2018-07-24T07:15:41Z,17715,Gila
71437241,2018-07-24T06:26:26Z,11993,Cerberus
71435320,2018-07-24T02:57:00Z,12005,Ishtar
71434115,2018-07-24T01:28:54Z,17715,Gila
71433268,2018-07-24T00:30:08Z,17843,Vexor Navy Issue
71432592,2018-07-23T23:40:44Z,17715,Gila
71432521,2018-07-23T23:33:20Z,17715,Gila
71432192,2018-07-23T23:03:20Z,12005,Ishtar
71431174,2018-07-23T21:43:14Z,627,Thorax
71430961,2018-07-23T21:26:05Z,12019,Sacrilege
71430647,2018-07-23T21:07:01Z,12019,Sacrilege
71429304,2018-07-23T19:54:39Z,17715,Gila
71429224,2018-07-23T19:50:29Z,17715,Gila
71429114,2018-07-23T19:44:06Z,626,Vexor
71427396,2018-07-23T18:32:53Z,17715,Gila
71426564,2018-07-23T17:59:29Z,17843,Vexor Navy Issue
71426330,2018-07-23T17:47:54Z,17843,Vexor Navy Issue
71424497,2018-07-23T15:50:16Z,11993,Cerberus
71424450,2018-07-23T15:48:04Z,17715,Gila
71423808,2018-07-23T15:23:49Z,17715,Gila
71423636,2018-07-23T15:10:03Z,628,Arbitrator
71422438,2018-07-23T13:26:56Z,12005,Ishtar
71422124,2018-07-23T12:57:02Z,17715,Gila
71422036,2018-07-23T12:47:08Z,626,Vexor
71421213,2018-07-23T11:00:06Z,17720,Cynabal
71421042,2018-07-23T10:42:36Z,621,Caracal
71420480,2018-07-23T09:37:51Z,12005,Ishtar
71419504,2018-07-23T07:35:30Z,12005,Ishtar
71414921,2018-07-23T00:10:01Z,17715,Gila
71413639,2018-07-22T22:33:59Z,17715,Gila
71411518,2018-07-22T21:07:05Z,17843,Vexor Navy Issue
71410276,2018-07-22T20:17:20Z,12019,Sacrilege
71409332,2018-07-22T19:40:34Z,17715,Gila
71408707,2018-07-22T19:18:02Z,17715,Gila
71407464,2018-07-22T18:27:12Z,12005,Ishtar
71406609,2018-07-22T17:51:45Z,17715,Gila
71406604,2018-07-22T17:51:17Z,17843,Vexor Navy Issue
71405928,2018-07-22T17:28:07Z,627,Thorax
71405622,2018-07-22T17:18:24Z,627,Thorax
71404025,2018-07-22T16:17:58Z,17715,Gila
71403383,2018-07-22T15:47:42Z,17715,Gila
71403121,2018-07-22T15:37:39Z,17715,Gila
71402875,2018-07-22T15:30:10Z,626,Vexor
71400874,2018-07-22T14:02:31Z,17715,Gila
71400512,2018-07-22T13:46:02Z,17715,Gila
71400241,2018-07-22T13:33:16Z,17715,Gila
71400224,2018-07-22T13:32:24Z,17843,Vexor Navy Issue
71398025,2018-07-22T11:23:40Z,17715,Gila
71396011,2018-07-22T08:58:42Z,626,Vexor
71395530,2018-07-22T08:20:43Z,17715,Gila
71395140,2018-07-22T07:42:02Z,626,Vexor
71395127,2018-07-22T07:41:07Z,621,Caracal
71394096,2018-07-22T06:06:04Z,12005,Ishtar
71393141,2018-07-22T04:37:49Z,17715,Gila
71390549,2018-07-22T01:35:10Z,627,Thorax
71387197,2018-07-21T22:07:03Z,17843,Vexor Navy Issue
71386715,2018-07-21T21:41:50Z,17715,Gila
71385899,2018-07-21T21:00:29Z,12005,Ishtar
71385445,2018-07-21T20:40:01Z,17843,Vexor Navy Issue
71384696,2018-07-21T20:06:06Z,17715,Gila
71384381,2018-07-21T19:51:37Z,17715,Gila
71382257,2018-07-21T18:12:30Z,17715,Gila
71381540,2018-07-21T17:37:52Z,17715,Gila
71381294,2018-07-21T17:23:47Z,17720,Cynabal
71380409,2018-07-21T16:38:18Z,12005,Ishtar
